original_city,original_neighbourhood,standardized_city,standardized_neighbourhood,autonomous_community
girona,"Vallfogona de Ripoll�s",Girona,"Vallfogona de Ripollès",Cataluña
girona,Verges,Girona,Verges,Cataluña
girona,Campdev�nol,Girona,Campdevànol,Cataluña
girona,Rab�s,Girona,Rabós,Cataluña
mallorca,"Sant Joan",Palma,"Sant Joan",Islas Baleares
girona,"Palau-saverdera",Girona,"Palau-saverdera",Cataluña
girona,Regenc�s,Girona,Regencós,Cataluña
girona,Torrent,Girona,Torrent,Cataluña
valencia,"SANT PAU",Valencia,"Sant Pau",Comunidad Valenciana
madrid,Orcasitas,Madrid,Orcasitas,Comunidad de Madrid
sevilla,"no asignado",Sevilla,"No asignado",Andalucía
madrid,Zof�o,Madrid,Zofío,Comunidad de Madrid
girona,"Les Planes d'Hostoles",Girona,"Les Planes d'Hostoles",Cataluña
girona,"Sant Pau de Seg�ries",Girona,"Sant Pau de Segúries",Cataluña
girona,"Sant Andreu Salou",Girona,"Sant Andreu Salou",Cataluña
valencia,"CIUTAT DE LES ARTS I DE LES CIENCIES",Valencia,"Ciutat de les Arts i les Ciències",Comunidad Valenciana
barcelona,"Torre Bar�",Barcelona,"Torre Baró",Cataluña
sevilla,"Tiro de L�nea, Santa Genoveva",Sevilla,"Tiro de Línea, Santa Genoveva",Andalucía
madrid,Tim�n,Madrid,Timón,Comunidad de Madrid
valencia,TORMOS,Valencia,Tormos,Comunidad Valenciana
girona,"Sant Feliu de Pallerols",Girona,"Sant Feliu de Pallerols",Cataluña
valencia,TORREFIEL,Valencia,Torrefiel,Comunidad Valenciana
madrid,"San Isidro",Madrid,"San Isidro",Comunidad de Madrid
madrid,Estrella,Madrid,Estrella,Comunidad de Madrid
girona,Ma�anet de la Selva,Girona,Maçanet de la Selva,Cataluña
valencia,"LES TENDETES",Valencia,"Les Tendetes",Comunidad Valenciana
girona,Setcases,Girona,Setcases,Cataluña
barcelona,"la Trinitat Vella",Barcelona,"La Trinitat Vella",Cataluña
madrid,Entrev�as,Madrid,Entrevías,Comunidad de Madrid
sevilla,"El Porvenir",Sevilla,"El Porvenir",Andalucía
girona,Riudarenes,Girona,Riudarenes,Cataluña
valencia,"CAMI FONDO",Valencia,"Cami Fondo",Comunidad Valenciana
valencia,EXPOSICIO,Valencia,Exposició,Comunidad Valenciana
madrid,Aeropuerto,Madrid,Aeropuerto,Comunidad de Madrid
girona,Ultramort,Girona,Ultramort,Cataluña
sevilla,"Bda. de Pineda",Sevilla,"Barriada de Pineda",Andalucía
valencia,"NA ROVELLA",Valencia,"Na Robella",Comunidad Valenciana
sevilla,"Sector Sur, La Palmera, Reina Mercedes",Sevilla,"Sector Sur, La Palmera, Reina Mercedes",Andalucía
valencia,BETERO,Valencia,Beteró,Comunidad Valenciana
sevilla,"La Calzada",Sevilla,"La Calzada",Andalucía
valencia,TRINITAT,Valencia,Trinitat,Comunidad Valenciana
valencia,ALBORS,Valencia,Albors,Comunidad Valenciana
valencia,MASSARROJOS,Valencia,Massarrojos,Comunidad Valenciana
girona,"Mont-ras",Girona,"Mont-ras",Cataluña
valencia,"TRES FORQUES",Valencia,"Tres Forques",Comunidad Valenciana
valencia,"EL GRAU",Valencia,"El Grau",Comunidad Valenciana
girona,Terrades,Girona,Terrades,Cataluña
girona,Llagostera,Girona,Llagostera,Cataluña
sevilla,"La Bachillera",Sevilla,"La Bachillera",Andalucía
girona,"Vall-llobrega",Girona,"Vall-llobrega",Cataluña
madrid,"Media Legua",Madrid,"Media Legua",Comunidad de Madrid
girona,Cistella,Girona,Cistella,Cataluña
sevilla,Palmete,Sevilla,Palmete,Andalucía
girona,Planoles,Girona,Planoles,Cataluña
valencia,"EL SALER",Valencia,"El Saler",Comunidad Valenciana
madrid,Colina,Madrid,Colina,Comunidad de Madrid
menorca,Ferreries,Menorca,Ferreries,Islas Baleares
sevilla,"Bda. Pino Montano",Sevilla,"Barriada Pino Montano",Andalucía
valencia,SOTERNES,Valencia,Soternes,Comunidad Valenciana
girona,Espolla,Girona,Espolla,Cataluña
madrid,"San Cristobal",Madrid,"San Cristóbal",Comunidad de Madrid
madrid,Rosas,Madrid,Rosas,Comunidad de Madrid
valencia,"L'AMISTAT",Valencia,"L'Amistat",Comunidad Valenciana
girona,Parlav�,Girona,Parlavà,Cataluña
barcelona,"la Trinitat Nova",Barcelona,"La Trinitat Nova",Cataluña
girona,"La Vall d'en Bas",Girona,"La Vall d'en Bas",Cataluña
girona,"Sant Juli� de Ramis",Girona,"Sant Julià de Ramis",Cataluña
valencia,"L'ILLA PERDUDA",Valencia,"L'Illa Perduda",Comunidad Valenciana
girona,"Mai� de Montcal",Girona,"Maià de Montcal",Cataluña
girona,"B�scara",Girona,"Bàscara",Cataluña
madrid,Orcasur,Madrid,Orcasur,Comunidad de Madrid
girona,Arb�cies,Girona,Arbúcies,Cataluña
madrid,Salvador,Madrid,El Salvador,Comunidad de Madrid
valencia,LA CREU DEL GRAU,Valencia,La Creu del Grau,Comunidad Valenciana
valencia,JAUME ROIG,Valencia,Jaume Roig,Comunidad Valenciana
madrid,Los Rosales,Madrid,Los Rosales,Comunidad de Madrid
girona,Palol de Revardit,Girona,Palol de Revardit,Cataluña
sevilla,Tablada,Sevilla,Tablada,Andalucía
sevilla,La Oliva,Sevilla,La Oliva,Andalucía
girona,Queralbs,Girona,Queralbs,Cataluña
valencia,LA VEGA BAIXA,Valencia,La Vega Baixa,Comunidad Valenciana
sevilla,Huerta del Pilar,Sevilla,Huerta del Pilar,Andalucía
girona,Vilaju�ga,Girona,Vilajuïga,Cataluña
valencia,MALILLA,Valencia,Malilla,Comunidad Valenciana
girona,Guils de Cerdanya,Girona,Guils de Cerdanya,Cataluña  
girona,Sant Miquel de Campmajor,Girona,Sant Miquel de Campmajor,Cataluña  
sevilla,Santa Clara,Sevilla,Santa Clara,Andalucía  
girona,Caldes de Malavella,Girona,Caldes de Malavella,Cataluña  
girona,Portbou,Girona,Portbou,Cataluña  
madrid,Pradolongo,Madrid,Pradolongo,Comunidad de Madrid  
madrid,Pavones,Madrid,Pavones,Comunidad de Madrid  
girona,Canet d'Adri,Girona,Canet d'Adri,Cataluña  
madrid,Marroquina,Madrid,Marroquina,Comunidad de Madrid  
valencia,SANT MARCEL.LI,Valencia,Sant Marcel·lí,Comunidad Valenciana  
sevilla,San Diego,Sevilla,San Diego,Andalucía  
girona,Rupi�,Girona,Rupià,Cataluña  
girona,Bordils,Girona,Bordils,Cataluña  
sevilla,Bami,Sevilla,Bami,Andalucía  
girona,Sant Lloren� de la Muga,Girona,Sant Llorenç de la Muga,Cataluña  
valencia,LA CREU COBERTA,Valencia,La Creu Coberta,Comunidad Valenciana  
girona,Vilallonga de Ter,Girona,Vilallonga de Ter,Cataluña  
sevilla,Huerta de Santa Teresa,Sevilla,Huerta de Santa Teresa,Andalucía  
girona,Ll�via,Girona,Llívia,Cataluña  
madrid,El Goloso,Madrid,El Goloso,Comunidad de Madrid  
girona,Sant Miquel de Fluvi�,Girona,Sant Miquel de Fluvià,Cataluña  
madrid,El Plant�o,Madrid,El Plantío,Comunidad de Madrid  
sevilla,"Prado, Parque Mar�a Luisa",Sevilla,"Prado, Parque María Luisa",Andalucía  
menorca,Es Migjorn Gran,Menorca,Es Migjorn Gran,Islas Baleares  
sevilla,Las Almenas,Sevilla,Las Almenas,Andalucía  
girona,Is�vol,Girona,Isòvol,Cataluña  
sevilla,Villegas,Sevilla,Villegas,Andalucía  
sevilla,Heli�polis,Sevilla,Heliópolis,Andalucía  
girona,Salt,Girona,Salt,Cataluña  
girona,Darnius,Girona,Darnius,Cataluña  
